a, COCA/CET/HS
an, CET/HS
abandon, HS/GRE/COCA/CET/TOEFL
abbreviation, CET
abide, GRE/COCA/CET
able, COCA/CET/HS
ability, COCA/CET/HS/TOEFL
abnormal, COCA/CET/HS/TOEFL
aboard, COCA/CET/HS
abolish, HS/GRE/COCA/CET/TOEFL
abolition, GRE/COCA/CET/TOEFL
abort, COCA/CET/TOEFL
abortion, COCA/CET/HS
about, COCA/CET/HS
above, COCA/CET/HS
abreast, GRE/COCA/CET/TOEFL
abroad, COCA/CET/HS
abrupt, HS/GRE/COCA/CET/TOEFL
absent, COCA/CET/HS
absence, COCA/CET/HS/TOEFL
absolute, HS/GRE/COCA/CET/TOEFL
absorb, HS/GRE/COCA/CET/TOEFL
abstract, HS/GRE/COCA/CET/TOEFL
absorption, COCA/CET
absurd, HS/GRE/COCA/CET/TOEFL
abundant, HS/GRE/COCA/CET/TOEFL
absurdity, COCA/CET
abundance, GRE/COCA/CET
abuse, HS/GRE/COCA/CET/TOEFL
abusive, GRE/COCA/CET
academy, COCA/CET/HS/TOEFL
accelerate, HS/GRE/COCA/CET/TOEFL
academic, HS/GRE/COCA/CET/TOEFL
acceleration, COCA/CET
academician, GRE/CET
accent, COCA/CET/HS
accept, COCA/CET/HS
access, HS/GRE/COCA/CET/TOEFL
acceptance, COCA/CET
accessible, HS/GRE/COCA/CET/TOEFL
acceptable, COCA/CET
accessory, GRE/COCA/CET/TOEFL
accident, COCA/CET/HS
accidental, COCA/CET/TOEFL
acclaim, GRE/COCA/CET/TOEFL
accommodate, GRE/COCA/CET/TOEFL
accommodation, COCA/CET/HS
accompany, HS/GRE/COCA/CET/TOEFL
accomplish, HS/GRE/COCA/CET/TOEFL
accord, GRE/COCA/CET/TOEFL
accomplishment, COCA/CET
accordance, COCA/CET
according to, CET
accordingly, COCA/CET
account, COCA/CET/HS/TOEFL
accounting, COCA/CET
accountant, COCA/CET/HS
accountancy, CET
accountable, COCA/CET
accumulate, HS/GRE/COCA/CET/TOEFL
accountability, GRE/COCA/CET
accumulation, COCA/CET
accumulative, CET
accurate, HS/GRE/COCA/CET/TOEFL
accuse, HS/GRE/COCA/CET/TOEFL
accuracy, HS/GRE/COCA/CET/TOEFL
accusation, COCA/CET/TOEFL
accustom, COCA/CET/TOEFL
accustomed, COCA/CET/HS/TOEFL
ace, COCA/CET
ache, COCA/CET/HS
achieve, COCA/CET/HS/TOEFL
achievement, COCA/CET/HS
acid, COCA/CET/HS/TOEFL
acidity, COCA/CET
acknowledge, HS/GRE/COCA/CET/TOEFL
acknowledgement, COCA/CET
acquaint, GRE/COCA/CET/TOEFL
acquaintance, GRE/COCA/CET/HS
acquire, COCA/CET/HS/TOEFL
acquisition, COCA/CET/HS
acre, CET/HS
across, COCA/CET/HS
act, COCA/CET/HS
action, COCA/CET/HS/TOEFL
acting, COCA/CET/TOEFL
activate, COCA/CET
active, COCA/CET/HS/TOEFL
activity, COCA/CET/HS/TOEFL
activist, COCA/CET
actor, COCA/CET/HS
actress, COCA/CET/HS
